first,last,ssn,mother_tongue,race,age,blood_group,gender,birthday,ccnumber,phone,email,street,state,city,zip,graduated_from,employed,company,designation,yearly_revenue
Lilly,Shaw,395-33-3968,Tajik,Sri Lankan,22,AB-,Male,10/31/1958,417500 -4556453382,(268) 881-3800,joscijog@hurki.ws,Jiruv Drive,SD,Tejkifoh,45236,South Eastern Kenya University,0,"Cooling Unlimited, Inc.",VP Product Management,"$3,520.52 "
Theresa,Conner,974-59-9678,Sotho,Alaska Native,55,O+,Female,1/26/1964,448553 -509109 -4475,(357) 940-4353,oppabuc@wajece.ws,Vevo Manor,SD,Gazaci,80261,Bugema University,0,?HVAC BOSTON MA ?,Electrical Engineer,$861.59 
Jason,Pope,717-17-2968,Punjabi,Puerto Rican,28,O-,Male,08-03-98,450 -86992 -29109 -903,(319) 746-6331,ge@kudoda.tc,Hujij Trail,CA,Votosag,6546,Duluth Business University,0,Trane Supply,VP Marketing,"$3,015.18 "
Grace,McGuire,730-35-6191,Bosnian,Ute,31,A+,Female,04-10-82,4508 -1712 -7623 -1121,(920) 344-7721,aj@vukunwik.fm,Egimu Loop,MO,Lahvago,80655,University of California System,0,Trane Supply,Geological Engineer,"$8,982.35 "
Annie,Briggs,171-43-2692,Tswana,Navajo,60,A-,Male,12-05-60,4508 -9191 -5991 -1940,(812) 324-5228,co@kafjoz.ws,Nuwe Court,MT,Cofumva,55767,Thomas University,0,"N.E.T.R., Inc.",Budget/Accounting Analyst I,"$1,636.77 "
Marvin,Sharp,153-91-6922,Gagauz,Micronesian,48,B+,Male,9/17/1984,450869 -1988756370,(480) 950-7231,fes@nortiofo.bf,Webu Drive,SC,Ceukuhe,99585,Zhengzhou Grain University,1,APA Venstock Corporation,Staff Scientist,"$6,925.21 "
Timothy,Salazar,831-24-0143,Azeri,Potawatomi,45,B-,Male,7/18/1961,4532 -296 -06 -6333,(354) 553-1420,uv@omuwava.do,Wuhsaz Extension,AZ,Neipec,77872,Zagreb School of Economics and Management,0,United Rentals - Power & HVAC,Financial Advisor,"$9,808.69 "
Larry,Warren,891-49-1152,Finnish,Korean,63,AB+,Male,10-05-87,4532 -318 -83 -3066,(958) 245-2154,zag@hinkopgu.tp,Zihu Point,MS,Saenda,85694,University of Wolverhampton,1,"Absolute Precision Plumbing, Heating & Cooling",Design Engineer,"$2,132.26 "
Mabelle,Tran,761-03-7502,Bulgarian,American Indian,24,AB-,Male,11-12-79,453250 -5187249583,(473) 609-2936,jijzi@wob.ac,Kifug Trail,WY,Tanogzag,83976,Pontificia Università Lateranense,1,AICA Plumbing/HVAC Systems,Environmental Specialist,"$3,862.35 "
Ollie,Ray,066-57-3986,Sotho,Colville,62,O+,Male,12/27/1981,484 -42241 -67169 -273,(750) 529-5675,morun@alvinhem.tc,Hoziw Parkway,FL,Gefgouca,2885,Ecole Nationale Supérieure de Chimie de Toulouse,1,Mobile Handyman,Sales Associate,"$1,507.03 "
May,Schultz,941-87-7659,Thai,Salvadoran,51,O-,Male,4/16/1991,484466 -992853 -9356,(542) 845-1228,ejoertes@nipti.fj,Vohsu Terrace,MS,Ulasegmu,73184,Universidad de Tarapacá,1,Delta-T,Executive Secretary,"$5,216.85 "
Phoebe,Rivera,730-61-1715,Thai,Shoshone,45,A+,Female,06-05-93,484485 -2350778151,(426) 783-4092,veligsa@cofvebuj.by,Tese Grove,RI,Pafcemgip,76085,Ecole Nationale Supérieure de Chimie de Toulouse,0,"HomeWorks Energy, Inc.",Chemical Engineer,"$6,847.19 "
Cornelia,Garrett,923-15-9072,Bosnian,Puerto Rican,62,A-,Male,5/24/1957,484488 -3309151265,(586) 557-6854,fupvule@jimow.ch,Sogco Street,SD,Wivgegpi,21850,Université de Ziguinchor,1,Daikin Applied,Teacher,"$3,185.28 "
Myrtie,Blake,588-53-7811,French,Osage,25,B+,Male,01-04-61,491 -72959 -34321 -803,(258) 446-2613,vewvum@lu.hm,Foaw Trail,CA,Tolodzaz,60953,Florida University of Medicine,0,Cimetrics Inc.,Senior Developer,"$9,962.04 "
Frederick,Baker,368-62-9652,Filipino,Alaskan Athabascan,35,B-,Female,12-11-69,491 -74613 -04773 -524,(731) 580-9185,sezu@buodjo.sk,Coduk Parkway,IA,Gukefu,87029,Universidad Miguel de Cervantes,0,BellSimons Companies,Senior Financial Analyst,"$4,369.03 "
Marvin,Guerrero,032-34-1471,Khmer,Chamorro,39,AB+,Female,10-08-67,491315 -3482177156,(208) 994-6482,calogutek@zotkin.fk,Geze Street,VT,Ojkinti,43658,University of Insubria,1,HTS New England,Automation Specialist IV,$880.96 
Robert,Freeman,055-18-7921,Lithuanian,Chinese,63,AB-,Male,7/22/1960,491387 -1443688652,(725) 423-7003,zajarse@fu.me,Zizkid View,NC,Gehanwos,52854,Masdar University Of Science And Technology,0,Unique Indoor Comfort,Occupational Therapist,"$6,993.77 "
Alberta,Alvarado,144-90-3683,Zulu,Cherokee,51,O+,Female,8/13/1993,491700 -2352194591,(205) 670-9965,kuhevebo@olvoven.zm,Rerup Manor,CA,Babebofe,22117,Université Panthéon-Sorbonne (Paris I),1,Urban Mechanical,Database Administrator III,"$9,883.26 "
Etta,Wade,335-71-6316,Hungarian,Bolivian,32,O-,Female,1/23/1974,491760 -2440900873,(250) 581-1705,bucnewze@kovwezev.gh,Irivo Highway,HI,Fizoemu,38291,Taipei Municipal Teachers College,0,TBros - Trethewey Brothers Inc,Editor,"$7,493.79 "
Dorothy,Shaw,741-69-5371,Hebrew,Asian Indian,21,A+,Female,10/18/1976,491783 -7901294032,(650) 259-9622,guzahu@vul.bn,Omuvum Turnpike,MO,Guzjevi,77463,Universidade Vale do Paraiba,1,Winters Home Services,Dental Hygienist,"$2,327.26 "
Christina,Hayes,283-95-5754,Kannada,Korean,21,A-,Female,05-06-63,4929 -066 -38 -7933,(589) 727-2124,ki@fahola.me,Bubu Pike,ND,Lissonso,87594,Mendeleev Russian University of Chemical Technology,1,Pinnacle HVAC,Automation Specialist II,"$5,829.92 "
Willie,Howard,951-83-2561,Moldovan,Latin American Indian,54,B+,Male,5/13/1997,510 -57919 -79275 -499,(689) 655-2659,niksa@ijag.rs,Vevowu Highway,WA,Ogajalpij,77614,Warsaw School of Economics,0,ARS / Rescue Rooter Boston,Compensation Analyst,"$4,189.80 "
Emily,Bowman,273-59-6301,Amharic,Chickasaw,34,B-,Male,9/26/1973,5111 -7496 -2460 -4432,(934) 550-7269,iw@mu.kg,Gewbek Highway,UT,Imotogig,32329,Lebanese University,1,Supply New England,Financial Advisor,"$1,179.71 "
Carrie,Nelson,932-97-6622,Chinese,Cambodian,19,AB+,Male,5/31/1977,516788 -6640277869,(372) 252-2680,gepahef@okiviz.lb,Anhof Avenue,WY,Hesahab,10037,Royal Holloway and Bedford New College,0,Gem Plumbing & Heating,Account Coordinator,"$7,576.98 "
Sophia,Schultz,128-90-6319,Telugu,Argentinian,50,AB-,Female,07-07-78,522006 -2132541098,(307) 279-3065,dan@zuanuso.ae,Edili Extension,TX,Riujidu,26194,Philosophisch-Theologische Hochschule der Salesianer Don Boscos,1,Gem Plumbing,Office Assistant IV,$422.43 
Dean,Jordan,901-62-8604,West Frisian,Navajo,59,O+,Male,3/25/1958,525 -35399 -48893 -151,(806) 439-9459,duzarum@ku.cd,Sodhuc Avenue,NM,Wecgowda,43632,University of Santo Tomas,0,GEM Plumbing and Heating,Assistant Professor,"$5,061.93 "
Seth,Herrera,831-18-6015,Irish Gaelic,Filipino,22,O-,Female,04-01-63,527028 -708610 -3566,(377) 256-9263,lafezo@ladife.sn,Elbo Circle,CT,Zeduho,5573,Universitas Widyatama,0,Gem Plumbing,VP Marketing,"$6,975.21 "
George,Moss,954-28-5364,Tajik,Black or African American,36,A+,Female,9/24/1980,528 -64464 -21729 -947,(208) 540-6078,gimhedbad@pocunsek.nl,Fubbas Court,LA,Pevnure,73787,Gaborone Universal College of Law,1,B & G Sheet Metal Co Inc,Statistician I,"$7,825.04 "
Frederick,Schultz,431-15-8482,Spanish,Yaqui,43,A-,Female,05-08-80,528 -88634 -51475 -688,(564) 773-1186,debobehu@dermud.gp,Ifevud Pass,SC,Hocofvi,40685,Universidad de Especialidades del Espíritu Santo,1,Accurate heating and air conditioning LLC,Programmer Analyst II,$399.66 
Mary,Arnold,276-39-1726,Fijian,American Indian,31,B+,Male,11-02-65,530050 -3340235315,(475) 856-9002,ecara@latoj.jm,Femete Grove,KS,Puhnece,43523,Nagoya University,0,Heat Pump Specialist Inc,Editor,"$5,862.39 "
Katie,Daniel,223-44-8332,Thai,Tohono O'Odham,42,B-,Female,1/18/1987,530193 -812403 -0905,(717) 677-1331,sugomaj@hufija.az,Nutdap Key,NY,Sedgujdu,5848,Bunka Women's University,1,Aspinwall Baystate,Budget/Accounting Analyst II,"$2,365.82 "
Troy,Patrick,784-04-6187,Yiddish,Chilean,61,AB+,Male,12-11-68,5351 -8637 -7057 -8040,(509) 506-8326,dekwaeso@cagcotcod.az,Ewhi Road,SD,Umarusu,45609,Latvian University of Agriculture,1,Addario's Services,VP Sales,"$8,223.42 "
Blanche,Cortez,833-70-2619,Tajik,Mexican,22,AB-,Female,09-07-85,535293 -864173 -2551,(680) 735-4698,uhoteefo@hecdipame.pw,Tehvud Glen,IA,Tuhutu,35852,Universidad de Ciencias Empresariales y Sociales,0,Johnstone Supply of Waltham,Recruiter,"$7,077.40 "
Jared,Fowler,533-02-8294,Lao,Taiwanese,47,O+,Female,6/29/1971,540684 -051850 -5555,(611) 388-2305,kejavwo@cu.id,Dahcu Way,HI,Zigizgu,45026,Lawrence Technological University,0,Atlantic Heating & Air Conditioning,Software Test Engineer I,"$5,763.94 "
Jared,Fowler,533-02-8294,Lao,Taiwanese,47,O+,Female,6/29/1971,5426 -8405 -9978 -1212,(611) 388-2305,kejavwo@cu.id,Dahcu Way,HI,Zigizgu,45026,American University of Paris,0,Atlantic Heating & Air Conditioning,Associate Professor,"$5,763.94 "
